acc position,acc_train,1_train,2_train,3_train,4_train,5_train,6_train,7_train,8_train,9_train,acc_test,1_test,2_test,3_test,4_test,5_test,6_test,7_test,8_test,9_test
acc_pos_0,0.8876,0.9159125,0.9211125,0.9237125,0.9246875,0.9253,0.9257875,0.9259125,0.92585,0.9256375,0.91405,0.9208,0.92335,0.92495,0.9257,0.92595,0.9262,0.92615,0.92655,0.92645
acc_pos_1,0.906025,0.932425,0.9331625,0.933675,0.933775,0.933775,0.9337875,0.933375,0.93345,0.93345,0.93245,0.935,0.9354,0.93575,0.9357,0.9354,0.935,0.93495,0.93495,0.93505
acc_pos_2,0.9101375,0.9312625,0.9323,0.93235,0.9324625,0.93235,0.9324625,0.9324375,0.9326625,0.932475,0.93515,0.9356,0.93535,0.93535,0.93525,0.9359,0.93625,0.93545,0.9352,0.93425
acc_pos_3,0.9310875,0.959975,0.9645875,0.9668625,0.9680625,0.9689375,0.96915,0.969325,0.9695375,0.9697375,0.9611,0.9629,0.96355,0.96515,0.9643,0.9634,0.9635,0.96355,0.9634,0.96325
acc_pos_4,0.9507796555909777,0.9727754138377196,0.9739625711960944,0.9744027531379637,0.9745361416051969,0.9746161746855367,0.9745094639117502,0.9743760754445171,0.9743493977510704,0.9741626538969441,0.9684339401682104,0.9702437985734057,0.970829340998616,0.9712551900351325,0.9713616522942616,0.9710954966464388,0.9701373363142766,0.9696582561481955,0.9694453316299372,0.9692324071116789
acc_pos_5,0.9562060419318106,0.973769174090696,0.9746801527228883,0.9751088485498024,0.9752160225065309,0.9752830062294863,0.9753097997186684,0.9753231964632594,0.9753231964632594,0.9753231964632594,0.9691846779370854,0.9706291461587845,0.97185961908838,0.9725551037877167,0.9726621014337684,0.9725551037877167,0.9724481061416649,0.9722341108495614,0.9721271132035095,0.9720736143804837
acc_pos_6,0.9573715587112331,0.974599772255342,0.9753901801862147,0.9757250988009913,0.9757786857793557,0.9757920825239467,0.975859066246902,0.9757920825239467,0.9757920825239467,0.9757518922901735,0.9712176332120693,0.9735715814252086,0.9739460731863899,0.9741065696554676,0.9741600684784935,0.9742135673015193,0.9742135673015193,0.9741065696554676,0.9741065696554676,0.9741065696554676
acc_pos_7,0.9607475383481814,0.9751758322727577,0.9756715118226271,0.975859066246902,0.9758992564806752,0.9759394467144484,0.9760064304374038,0.9760466206711769,0.9759930336928127,0.9760064304374038,0.9742135673015193,0.9752300449390113,0.9753370425850632,0.9752300449390113,0.9750695484699337,0.9747485555317783,0.9747485555317783,0.9746415578857265,0.9746950567087524,0.9746415578857265
acc_pos_8,0.9596624020363052,0.9751356420389845,0.975859066246902,0.9761671913724965,0.9761537946279054,0.9762073816062696,0.9761671913724965,0.9762073816062696,0.9762207783508607,0.9761939848616786,0.972876096725872,0.9746415578857265,0.9748020543548042,0.974909052000856,0.9748020543548042,0.9746950567087524,0.9746950567087524,0.9746950567087524,0.9747485555317783,0.9747485555317783
acc_pos_9,0.9579744122178311,0.975015071337665,0.9758322727577199,0.9758992564806752,0.9761537946279054,0.9761671913724965,0.9762073816062696,0.9761805881170875,0.9761136043941322,0.9760868109049501,0.9734110849561309,0.9745345602396748,0.9745880590627006,0.9748020543548042,0.974909052000856,0.9748555531778301,0.9748020543548042,0.9748020543548042,0.9748020543548042,0.9748555531778301
acc_pos_10,0.9626230825909304,0.9751490387835756,0.9758456695023109,0.9760064304374038,0.9761136043941322,0.9762475718400428,0.9763279523075893,0.9761671913724965,0.9761002076495412,0.9760734141603591,0.9737855767173123,0.9748020543548042,0.9752300449390113,0.9750695484699337,0.9750160496469078,0.9749625508238818,0.9749625508238818,0.9749625508238818,0.9749625508238818,0.9749625508238818
acc_pos_11,0.9566350539346992,0.9998914066459132,0.9999276044306088,0.9999638022153045,1.0,1.0,1.0,1.0,1.0,1.0,0.9998559077809799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acc_pos_12,0.9527840705854298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
